資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考
20-052-01	四種相違疏本文	1818	453	有	有	有一實故	有一實故			1	1	〔朱〕平	平入入濁平							10-18：128	
20-052-01	四種相違疏本文	1819	453	一	一	有一實故	有一實故			2	2	〔朱〕入	平入入濁平							10-18：128	
20-052-01	四種相違疏本文	1820	453	實	實	有一實故	有一實故			3	2	〔朱〕入濁	平入入濁平							10-18：128	
20-052-01	四種相違疏本文	1821	453	故	故	有一實故	有一實故			4	1	〔朱〕平	平入入濁平							10-19：129	
20-052-01	四種相違疏本文	1822	454	作	作	作有縁性	作有縁性			1	1	〔朱〕平	平平毘平新濁							10-19：129	
20-052-01	四種相違疏本文	1823	454	有	有	作有縁性	作有縁性			2	1	〔朱〕平	平平毘平新濁							10-19：129	
20-052-01	四種相違疏本文	1824	454	縁	縁	作有縁性	作有縁性			3	2	〔朱〕毘	平平毘平新濁							10-19：129	
20-052-01	四種相違疏本文	1825	454	性	性	作有縁性	作有縁性			4	2	〔朱〕平新濁	平平毘平新濁							10-19：129	
20-052-01	四種相違疏本文	1826	455	躰	躰	躰非實等	躰非實等			1	2	〔朱〕平	平上入濁平							10-19：129	
20-052-01	四種相違疏本文	1827	455	非	非	躰非實等	躰非實等			2	1	〔朱〕上	平上入濁平							10-19：129	
20-052-01	四種相違疏本文	1828	455	實	實	躰非實等	躰非實等			3	2	〔朱〕入濁	平上入濁平							10-19：129	
20-052-01	四種相違疏本文	1829	455	等	等	躰非實等	躰非實等			4	2	〔朱〕平	平上入濁平							10-19：129	
20-052-01	四種相違疏本文	1830	456	有	有	有性有一實	有性有一實			1	1	〔朱〕平	平平平入入濁		＊シヤウ＊＊＊					10-19：129	
20-052-01	四種相違疏本文	1831	456	性	性	有性有一實	有性有一實			2	2	〔朱〕平	平平平入入濁	シヤウ	＊シヤウ＊＊＊					10-19：129	
20-052-01	四種相違疏本文	1832	456	有	有	有性有一實	有性有一實			3	1	〔朱〕平	平平平入入濁		＊シヤウ＊＊＊					10-19：129	
20-052-01	四種相違疏本文	1833	456	一	一	有性有一實	有性有一實			4	2	〔朱〕入	平平平入入濁		＊シヤウ＊＊＊					10-19：129	
20-052-01	四種相違疏本文	1834	456	實	實	有性有一實	有性有一實			5	2	〔朱〕入濁	平平平入入濁		＊シヤウ＊＊＊					10-19：129	
20-052-01	四種相違疏本文	1835	457	𡖋	𡖋	𡖋作有縁性	𡖋作有縁性			1	2	〔朱〕入	入平平毘平新濁		＊サ＊＊＊					11-02：130	
20-052-01	四種相違疏本文	1836	457	作	作	𡖋作有縁性	𡖋作有縁性			2	1	〔朱〕平	入平平毘平新濁	サ	＊サ＊＊＊					11-02：130	
20-052-01	四種相違疏本文	1837	457	有	有	𡖋作有縁性	𡖋作有縁性			3	1	〔朱〕平	入平平毘平新濁		＊サ＊＊＊					11-02：130	
20-052-01	四種相違疏本文	1838	457	縁	縁	𡖋作有縁性	𡖋作有縁性			4	2	〔朱〕毘	入平平毘平新濁		＊サ＊＊＊					11-02：130	
20-052-01	四種相違疏本文	1839	457	性	性	𡖋作有縁性	𡖋作有縁性			5	2	〔朱〕平新濁	入平平毘平新濁		＊サ＊＊＊					11-02：130	
20-052-01	四種相違疏本文	1840	458	故	故	故知躰𡖋	故知躰𡖋			1	1	〔朱〕平	平上平＊							11-02：130	
20-052-01	四種相違疏本文	1841	458	知	知	故知躰𡖋	故知躰𡖋			2	1	〔朱〕上	平上平＊							11-02：130	
20-052-01	四種相違疏本文	1842	458	躰	躰	故知躰𡖋	故知躰𡖋			3	2	〔朱〕平	平上平＊							11-02：130	
20-052-01	四種相違疏本文	1843	459	非	非	非實徳業	非實徳業			1	1	〔朱〕上	上入濁入フ入濁							11-02：130	
20-052-01	四種相違疏本文	1844	459	實	實	非實徳業	非實徳業			2	2	〔朱〕入濁	上入濁入フ入濁							11-02：130	
20-052-01	四種相違疏本文	1845	459	徳	徳	非實徳業	非實徳業			3	2	〔朱〕入	上入濁入フ入濁							11-02：130	
20-052-01	四種相違疏本文	1846	459	業	業	非實徳業	非實徳業			4	2	〔朱〕フ入濁	上入濁入フ入濁							11-02：130	
20-052-01	四種相違疏本文	1847	460	此	此	此言有者	此言有者			1	1	〔朱〕平	平毘濁平平							11-02：130	
20-052-01	四種相違疏本文	1848	460	言	言	此言有者	此言有者			2	2	〔朱〕毘濁	平毘濁平平							11-03：131	
20-052-01	四種相違疏本文	1849	460	有	有	此言有者	此言有者			3	1	〔朱〕平	平毘濁平平							11-03：131	
20-052-01	四種相違疏本文	1850	460	者	者	此言有者	此言有者			4	1	〔朱〕平	平毘濁平平							11-03：131	
20-052-01	四種相違疏本文	1851	461	有	有	有無之有	有無之有			1	1	〔朱〕平	平上上平							11-03：131	
20-052-01	四種相違疏本文	1852	461	無	無	有無之有	有無之有			2	1	〔朱〕上	平上上平							11-03：131	
20-052-01	四種相違疏本文	1853	461	之	之	有無之有	有無之有			3	1	〔朱〕上	平上上平							11-03：131	
20-052-01	四種相違疏本文	1854	461	有	有	有無之有	有無之有			4	1	〔朱〕平	平上上平							11-03：131	
20-052-01	四種相違疏本文	1855	462	非	非	非作境囙	非作境囙			1	1	〔朱〕上	上平平去							11-03：131	
20-052-01	四種相違疏本文	1856	462	作	作	非作境囙	非作境囙			2	1	〔朱〕平	上平平去							11-03：131	
20-052-01	四種相違疏本文	1857	462	境	境	非作境囙	非作境囙			3	2	〔朱〕平	上平平去							11-03：131	
20-052-01	四種相違疏本文	1858	462	囙	囙	非作境囙	非作境囙			4	2	〔朱〕去	上平平去							11-03：131	
20-052-01	四種相違疏本文	1859	463	有	有	有能縁性	有能縁性			1	1	〔朱〕平	平去毘平新濁							11-03：131	
20-052-01	四種相違疏本文	1860	463	能	能	有能縁性	有能縁性			2	2	〔朱〕去	平去毘平新濁							11-03：131	「能」補筆
20-052-01	四種相違疏本文	1861	463	縁	縁	有能縁性	有能縁性			3	2	〔朱〕毘	平去毘平新濁							11-03：131	
20-052-01	四種相違疏本文	1862	463	性	性	有能縁性	有能縁性			4	2	〔朱〕平新濁	平去毘平新濁							11-03：131	
20-052-01	四種相違疏本文	1863	464	非	非	故非大有也	故非大有也			2	1	〔朱〕上	＊上平濁平上							11-04：132	
20-052-01	四種相違疏本文	1864	464	大	大	故非大有也	故非大有也			3	2	〔朱〕平濁	＊上平濁平上							11-04：132	朱双点の右点虫損により欠損
20-052-01	四種相違疏本文	1865	464	有	有	故非大有也	故非大有也			4	1	〔朱〕平	＊上平濁平上							11-04：132	
20-052-01	四種相違疏本文	1866	464	也	也	故非大有也	故非大有也			5	1	〔朱〕上	＊上平濁平上							11-04：132	
20-052-01	四種相違疏本文	1867	465	若	若	若作大有有縁性	若作大有有縁性			1	2	〔朱〕入	入平平濁平平去平新濁							11-04：132	
20-052-01	四種相違疏本文	1868	465	作	作	若作大有有縁性	若作大有有縁性			2	1	〔朱〕平	入平平濁平平去平新濁							11-04：132	
20-052-01	四種相違疏本文	1869	465	大	大	若作大有有縁性	若作大有有縁性			3	2	〔朱〕平濁	入平平濁平平去平新濁							11-04：132	
20-052-01	四種相違疏本文	1870	465	有	有	若作大有有縁性	若作大有有縁性			4	1	〔朱〕平	入平平濁平平去平新濁							11-04：132	
20-052-01	四種相違疏本文	1871	465	有	有	若作大有有縁性	若作大有有縁性			5	1	〔朱〕平	入平平濁平平去平新濁							11-04：132	
20-052-01	四種相違疏本文	1872	465	縁	縁	若作大有有縁性	若作大有有縁性			6	2	〔朱〕去	入平平濁平平去平新濁							11-04：132	
20-052-01	四種相違疏本文	1873	465	性	性	若作大有有縁性	若作大有有縁性			7	2	〔朱〕平新濁	入平平濁平平去平新濁							11-04：132	
20-052-01	四種相違疏本文	1874	466	能	能	能別不成	能別不成			1	2	〔朱〕去	去入濁上毘濁							11-04：132	
20-052-01	四種相違疏本文	1875	466	別	別	能別不成	能別不成			2	2	〔朱〕入濁	去入濁上毘濁							11-04：132	
20-052-01	四種相違疏本文	1876	466	不	不	能別不成	能別不成			3	1	〔朱〕上	去入濁上毘濁							11-04：132	
20-052-01	四種相違疏本文	1877	466	成	成	能別不成	能別不成			4	2	〔朱〕毘濁	去入濁上毘濁							11-05：133	
20-052-01	四種相違疏本文	1878	467	闕	闕	闕無同喩	闕無同喩			1	2	〔朱〕入	入上毘濁平	ケツ	ケツ＊＊＊					11-05：133	
20-052-01	四種相違疏本文	1879	467	無	無	闕無同喩	闕無同喩			2	1	〔朱〕上	入上毘濁平		ケツ＊＊＊					11-05：133	
20-052-01	四種相違疏本文	1880	467	同	同	闕無同喩	闕無同喩			3	2	〔朱〕毘濁	入上毘濁平		ケツ＊＊＊					11-05：133	
20-052-01	四種相違疏本文	1881	467	喩	喩	闕無同喩	闕無同喩			4	1	〔朱〕平	入上毘濁平		ケツ＊＊＊					11-05：133	
20-052-01	四種相違疏本文	1882	468	同	同	同異爲喩	同異為喩			1	2	〔朱〕去濁	去濁平上平							11-05：133	
20-052-01	四種相違疏本文	1883	468	異	異	同異爲喩	同異為喩			2	1	〔朱〕平	去濁平上平							11-05：133	
20-052-01	四種相違疏本文	1884	468	爲	為	同異爲喩	同異為喩			3	1	〔朱〕上	去濁平上平							11-05：133	
20-052-01	四種相違疏本文	1885	468	喩	喩	同異爲喩	同異為喩			4	1	〔朱〕平	去濁平上平							11-05：133	
20-052-01	四種相違疏本文	1886	469	㪽	㪽	㪽立不成	㪽立不成			1	1	〔朱〕平	平フ入上毘濁							11-05：133	
20-052-01	四種相違疏本文	1887	469	立	立	㪽立不成	㪽立不成			2	2	〔朱〕フ入	平フ入上毘濁							11-05：133	
20-052-01	四種相違疏本文	1888	469	不	不	㪽立不成	㪽立不成			3	1	〔朱〕上	平フ入上毘濁							11-05：133	
20-052-01	四種相違疏本文	1889	469	成	成	㪽立不成	㪽立不成			4	2	〔朱〕毘濁	平フ入上毘濁							11-05：133	
20-052-01	四種相違疏本文	1890	470	有	有	有性言陳	有性言陳			1	1	〔朱〕平	平平去濁毘濁							11-05：133	
20-052-01	四種相違疏本文	1891	470	性	性	有性言陳	有性言陳			2	2	〔朱〕平	平平去濁毘濁							11-06：134	
20-052-01	四種相違疏本文	1892	470	言	言	有性言陳	有性言陳			3	2	〔朱〕去濁	平平去濁毘濁							11-06：134	
20-052-01	四種相違疏本文	1893	470	陳	陳	有性言陳	有性言陳			4	2	〔朱〕毘濁	平平去濁毘濁							11-06：134	
20-052-01	四種相違疏本文	1894	471	有	有	有法自相	有法自相			1	1	〔朱〕平	平フ入平濁平							11-06：134	
20-052-01	四種相違疏本文	1895	471	法	法	有法自相	有法自相			2	2	〔朱〕フ入	平フ入平濁平							11-06：134	
20-052-01	四種相違疏本文	1896	471	自	自	有法自相	有法自相			3	1	〔朱〕平濁	平フ入平濁平							11-06：134	
20-052-01	四種相違疏本文	1897	471	相	相	有法自相	有法自相			4	2	〔朱〕平	平フ入平濁平							11-06：134	
20-052-01	四種相違疏本文	1898	472	作	作	作有縁性	作有縁性			1	1	〔朱〕平	平平毘平新濁							11-06：134	
20-052-01	四種相違疏本文	1899	472	有	有	作有縁性	作有縁性			2	1	〔朱〕平	平平毘平新濁							11-06：134	
20-052-01	四種相違疏本文	1900	472	縁	縁	作有縁性	作有縁性			3	2	〔朱〕毘	平平毘平新濁							11-06：134	
20-052-01	四種相違疏本文	1901	472	性	性	作有縁性	作有縁性			4	2	〔朱〕平新濁	平平毘平新濁							11-06：134	
20-052-01	四種相違疏本文	1902	473	作	作	作非有縁性	作非有縁性			1	1	〔朱〕平	平上平去平新濁							11-06：134	
20-052-01	四種相違疏本文	1903	473	非	非	作非有縁性	作非有縁性			2	1	〔朱〕上	平上平去平新濁							11-06：134	
20-052-01	四種相違疏本文	1904	473	有	有	作非有縁性	作非有縁性			3	1	〔朱〕平	平上平去平新濁							11-06：134	
20-052-01	四種相違疏本文	1905	473	縁	縁	作非有縁性	作非有縁性			4	2	〔朱〕去	平上平去平新濁							11-07：135	
20-052-01	四種相違疏本文	1906	473	性	性	作非有縁性	作非有縁性			5	2	〔朱〕平新濁	平上平去平新濁							11-07：135	
20-052-01	四種相違疏本文	1907	474	是	是	是自相上	是自相上			1	1	〔朱〕平濁	平濁平濁平平濁							11-07：135	
20-052-01	四種相違疏本文	1908	474	自	自	是自相上	是自相上			2	1	〔朱〕平濁	平濁平濁平平濁							11-07：135	
20-052-01	四種相違疏本文	1909	474	相	相	是自相上	是自相上			3	2	〔朱〕平	平濁平濁平平濁							11-07：135	
20-052-01	四種相違疏本文	1910	474	上	上	是自相上	是自相上			4	2	〔朱〕平濁	平濁平濁平平濁							11-07：135	
20-052-01	四種相違疏本文	1911	475	意	意	意許差別	意許差別			1	1	〔朱〕平	平平上入濁							11-07：135	
20-052-01	四種相違疏本文	1912	475	許	許	意許差別	意許差別			2	1	〔朱〕平	平平上入濁							11-07：135	
20-052-01	四種相違疏本文	1913	475	差	差	意許差別	意許差別			3	1	〔朱〕上	平平上入濁							11-07：135	
20-052-01	四種相違疏本文	1914	475	別	別	意許差別	意許差別			4	2	〔朱〕入濁	平平上入濁							11-07：135	
20-052-01	四種相違疏本文	1915	476	是	是	是故前囙	是故前囙			1	1	〔朱〕平濁	平濁平去濁毘							11-07：135	
20-052-01	四種相違疏本文	1916	476	故	故	是故前囙	是故前囙			2	1	〔朱〕平	平濁平去濁毘							11-07：135	
20-052-01	四種相違疏本文	1917	476	前	前	是故前囙	是故前囙			3	2	〔朱〕去濁	平濁平去濁毘							11-07：135	
20-052-01	四種相違疏本文	1918	476	囙	囙	是故前囙	是故前囙			4	2	〔朱〕毘	平濁平去濁毘							11-07：135	
20-052-01	四種相違疏本文	1919	477	是	是	𡖋是有法差別之囙	𡖋是有法差別之囙			2	1	〔朱〕平濁	平濁平入上入濁上毘平濁							11-08：136	
20-052-01	四種相違疏本文	1920	477	有	有	𡖋是有法差別之囙	𡖋是有法差別之囙			3	1	〔朱〕平	平濁平入上入濁上毘平濁							11-08：136	
20-052-01	四種相違疏本文	1921	477	法	法	𡖋是有法差別之囙	𡖋是有法差別之囙			4	2	〔朱〕入	平濁平入上入濁上毘平濁							11-08：136	
20-052-01	四種相違疏本文	1922	477	差	差	𡖋是有法差別之囙	𡖋是有法差別之囙			5	1	〔朱〕上	平濁平入上入濁上毘平濁							11-08：136	
20-052-01	四種相違疏本文	1923	477	別	別	𡖋是有法差別之囙	𡖋是有法差別之囙			6	2	〔朱〕入濁	平濁平入上入濁上毘平濁							11-08：136	
20-052-01	四種相違疏本文	1924	477	之	之	𡖋是有法差別之囙	𡖋是有法差別之囙			7	1	〔朱〕上	平濁平入上入濁上毘平濁							11-08：136	
20-052-01	四種相違疏本文	1925	477	囙	囙	𡖋是有法差別之囙	𡖋是有法差別之囙			8	2	〔朱〕毘	平濁平入上入濁上毘平濁							11-08：136	
20-052-01	四種相違疏本文	1926	478	是	是	是本成故	是本成故			1	1	〔朱〕平濁	平濁平去濁平							11-08：136	
20-052-01	四種相違疏本文	1927	478	本	本	是本成故	是本成故			2	2	〔朱〕平	平濁平去濁平							11-08：136	
20-052-01	四種相違疏本文	1928	478	成	成	是本成故	是本成故			3	2	〔朱〕去濁	平濁平去濁平							11-08：136	
20-052-01	四種相違疏本文	1929	478	故	故	是本成故	是本成故			4	1	〔朱〕平	平濁平去濁平							11-08：136	
20-052-01	四種相違疏本文	1930	479	能	能	𡖋能成立	𡖋能成立			2	2	〔朱〕去	＊去上濁フ入							11-09：137	
20-052-01	四種相違疏本文	1931	479	成	成	𡖋能成立	𡖋能成立			3	2	〔朱〕上濁	＊去上濁フ入							11-09：137	
20-052-01	四種相違疏本文	1932	479	立	立	𡖋能成立	𡖋能成立			4	2	〔朱〕フ入	＊去上濁フ入							11-09：137	
20-052-01	四種相違疏本文	1933	480	與	與	與此相𮞒	與此相𮞒			1	1	〔朱〕平	平平毘上							11-09：137	
20-052-01	四種相違疏本文	1934	480	此	此	與此相𮞒	與此相𮞒			2	1	〔朱〕平	平平毘上							11-09：137	
20-052-01	四種相違疏本文	1935	480	相	相	與此相𮞒	與此相𮞒			3	2	〔朱〕毘	平平毘上							11-09：137	
20-052-01	四種相違疏本文	1936	480	𮞒	𮞒	與此相𮞒	與此相𮞒			4	1	〔朱〕上	平平毘上							11-09：137	
20-052-01	四種相違疏本文	1937	481	作	作	作非有縁性	作非有縁性			1	1	〔朱〕平	平上平去平新濁							11-09：137	
20-052-01	四種相違疏本文	1938	481	非	非	作非有縁性	作非有縁性			2	1	〔朱〕上	平上平去平新濁							11-09：137	
20-052-01	四種相違疏本文	1939	481	有	有	作非有縁性	作非有縁性			3	1	〔朱〕平	平上平去平新濁							11-09：137	
20-052-01	四種相違疏本文	1940	481	縁	縁	作非有縁性	作非有縁性			4	2	〔朱〕去	平上平去平新濁							11-09：137	
20-052-01	四種相違疏本文	1941	481	性	性	作非有縁性	作非有縁性			5	2	〔朱〕平新濁	平上平去平新濁							11-09：137	
20-052-01	四種相違疏本文	1942	482	如	如	如遮實等	如遮實等			1	1	〔朱〕上	上上入濁平							11-09：137	
20-052-01	四種相違疏本文	1943	482	遮	遮	如遮實等	如遮實等			2	1	〔朱〕上	上上入濁平							11-09：137	
20-052-01	四種相違疏本文	1944	482	實	實	如遮實等	如遮實等			3	2	〔朱〕入濁	上上入濁平							11-09：137	
20-052-01	四種相違疏本文	1945	482	等	等	如遮實等	如遮實等			4	2	〔朱〕平	上上入濁平							11-10：138	
20-052-01	四種相違疏本文	1946	483	倶	倶	倶决㝎故	倶决㝎故			1	1	〔朱〕上	上入平濁平							11-10：138	
20-052-01	四種相違疏本文	1947	483	决	决	倶决㝎故	倶决㝎故			2	2	〔朱〕入	上入平濁平							11-10：138	
20-052-01	四種相違疏本文	1948	483	㝎	㝎	倶决㝎故	倶决㝎故			3	2	〔朱〕平濁	上入平濁平							11-10：138	
20-052-01	四種相違疏本文	1949	483	故	故	倶决㝎故	倶决㝎故			4	1	〔朱〕平	上入平濁平							11-10：138	
20-052-01	四種相違疏本文	1950	484	此	此	此成𮞒義有二	此成𮞒義有二			1	1	〔朱〕平	平去濁上平濁平平							11-10：138	
20-052-01	四種相違疏本文	1951	484	成	成	此成𮞒義有二	此成𮞒義有二			2	2	〔朱〕去濁	平去濁上平濁平平							11-10：138	
20-052-01	四種相違疏本文	1952	484	𮞒	𮞒	此成𮞒義有二	此成𮞒義有二			3	1	〔朱〕上	平去濁上平濁平平							11-10：138	
20-052-01	四種相違疏本文	1953	484	義	義	此成𮞒義有二	此成𮞒義有二			4	1	〔朱〕平濁	平去濁上平濁平平							11-10：138	
20-052-01	四種相違疏本文	1954	484	有	有	此成𮞒義有二	此成𮞒義有二			5	1	〔朱〕平	平去濁上平濁平平							11-10：138	
20-052-01	四種相違疏本文	1955	484	二	二	此成𮞒義有二	此成𮞒義有二			6	1	〔朱〕平	平去濁上平濁平平							11-10：138	
20-052-01	四種相違疏本文	1956	485	初	初	初三句顯	初三句顯			1	1	〔朱〕上	上毘平平							11-10：138	
20-052-01	四種相違疏本文	1957	485	三	三	初三句顯	初三句顯			2	2	〔朱〕毘	上毘平平							11-10：138	
20-052-01	四種相違疏本文	1958	485	句	句	初三句顯	初三句顯			3	1	〔朱〕平	上毘平平							11-11：139	
20-052-01	四種相違疏本文	1959	485	顯	顯	初三句顯	初三句顯			4	2	〔朱〕平	上毘平平							11-11：139	
20-052-01	四種相違疏本文	1960	486	此	此	此囙𡖋能	此囙𡖋能			1	1	〔朱〕平	平去＊去							11-11：139	
20-052-01	四種相違疏本文	1961	486	囙	囙	此囙𡖋能	此囙𡖋能			2	2	〔朱〕去	平去＊去							11-11：139	
20-052-01	四種相違疏本文	1962	486	能	能	此囙𡖋能	此囙𡖋能			4	2	〔朱〕去	平去＊去							11-11：139	
20-052-01	四種相違疏本文	1963	487	令	令	令彼有法差別	令彼有法差別			1	2	〔朱〕去	去平平入上入濁							11-11：139	
20-052-01	四種相違疏本文	1964	487	彼	彼	令彼有法差別	令彼有法差別			2	1	〔朱〕平	去平平入上入濁							11-11：139	
20-052-01	四種相違疏本文	1965	487	有	有	令彼有法差別	令彼有法差別			3	1	〔朱〕平	去平平入上入濁							11-11：139	
20-052-01	四種相違疏本文	1966	487	法	法	令彼有法差別	令彼有法差別			4	2	〔朱〕入	去平平入上入濁							11-11：139	
20-052-01	四種相違疏本文	1967	487	差	差	令彼有法差別	令彼有法差別			5	1	〔朱〕上	去平平入上入濁							11-11：139	
20-052-01	四種相違疏本文	1968	487	別	別	令彼有法差別	令彼有法差別			6	2	〔朱〕入濁	去平平入上入濁							11-11：139	
20-052-01	四種相違疏本文	1969	488	𮞒	𮞒	而作相𮞒	而作相𮞒			4	1	〔朱〕上	＊＊＊上							11-12：140	
20-052-01	四種相違疏本文	1970	489	後	後	後二句釋㪽由	後二句釋㪽由			1	1	〔朱〕平濁	平濁平平入平上							11-12：140	
20-052-01	四種相違疏本文	1971	489	二	二	後二句釋㪽由	後二句釋㪽由			2	1	〔朱〕平	平濁平平入平上							11-12：140	
20-052-01	四種相違疏本文	1972	489	句	句	後二句釋㪽由	後二句釋㪽由			3	1	〔朱〕平	平濁平平入平上							11-12：140	
20-052-01	四種相違疏本文	1973	489	釋	釋	後二句釋㪽由	後二句釋㪽由			4	2	〔朱〕入	平濁平平入平上							11-12：140	
20-052-01	四種相違疏本文	1974	489	㪽	㪽	後二句釋㪽由	後二句釋㪽由			5	1	〔朱〕平	平濁平平入平上							11-12：140	
20-052-01	四種相違疏本文	1975	489	由	由	後二句釋㪽由	後二句釋㪽由			6	1	〔朱〕上	平濁平平入平上							11-12：140	
20-052-01	四種相違疏本文	1976	490	作	作	作非有縁性者	作非有縁性者			1	1	〔朱〕平	平上平去平新濁平							11-12：140	
20-052-01	四種相違疏本文	1977	490	非	非	作非有縁性者	作非有縁性者			2	1	〔朱〕上	平上平去平新濁平							11-12：140	
20-052-01	四種相違疏本文	1978	490	有	有	作非有縁性者	作非有縁性者			3	1	〔朱〕平	平上平去平新濁平							11-12：140	「有」字補筆
20-052-01	四種相違疏本文	1979	490	縁	縁	作非有縁性者	作非有縁性者			4	2	〔朱〕去	平上平去平新濁平							11-12：140	
20-052-01	四種相違疏本文	1980	490	性	性	作非有縁性者	作非有縁性者			5	2	〔朱〕平新濁	平上平去平新濁平							11-12：140	
20-052-01	四種相違疏本文	1981	490	者	者	作非有縁性者	作非有縁性者			6	1	〔朱〕平	平上平去平新濁平							11-12：140	
20-052-01	四種相違疏本文	1982	491	作	作	作非彼意許	作非彼意許			1	1	〔朱〕平	平上平平平							11-12：140	
20-052-01	四種相違疏本文	1983	491	非	非	作非彼意許	作非彼意許			2	1	〔朱〕上	平上平平平							11-12：140	
20-052-01	四種相違疏本文	1984	491	彼	彼	作非彼意許	作非彼意許			3	1	〔朱〕平	平上平平平							11-12：140	
20-052-01	四種相違疏本文	1985	491	意	意	作非彼意許	作非彼意許			4	1	〔朱〕平	平上平平平							11-13：141	
20-052-01	四種相違疏本文	1986	491	許	許	作非彼意許	作非彼意許			5	1	〔朱〕平	平上平平平							11-13：141	
20-052-01	四種相違疏本文	1987	492	大	大	大有句義	大有句義			1	2	〔朱〕平濁	平濁平平平濁							11-13：141	
20-052-01	四種相違疏本文	1988	492	有	有	大有句義	大有句義			2	1	〔朱〕平	平濁平平平濁							11-13：141	
20-052-01	四種相違疏本文	1989	492	句	句	大有句義	大有句義			3	1	〔朱〕平	平濁平平平濁							11-13：141	
20-052-01	四種相違疏本文	1990	492	義	義	大有句義	大有句義			4	1	〔朱〕平濁	平濁平平平濁							11-13：141	
20-052-01	四種相違疏本文	1991	493	有	有	有縁之性	有縁之性			1	1	〔朱〕平	平去上平							11-13：141	
20-052-01	四種相違疏本文	1992	493	縁	縁	有縁之性	有縁之性			2	2	〔朱〕去	平去上平							11-13：141	
20-052-01	四種相違疏本文	1993	493	之	之	有縁之性	有縁之性			3	1	〔朱〕上	平去上平							11-13：141	
20-052-01	四種相違疏本文	1994	493	性	性	有縁之性	有縁之性			4	2	〔朱〕平	平去上平							11-13：141	
20-052-01	四種相違疏本文	1995	494	謂	謂	謂即此囙	謂即此囙			1	1	〔朱〕平	平入平去							11-13：141	
20-052-01	四種相違疏本文	1996	494	即	即	謂即此囙	謂即此囙			2	2	〔朱〕入	平入平去							11-13：141	
20-052-01	四種相違疏本文	1997	494	此	此	謂即此囙	謂即此囙			3	1	〔朱〕平	平入平去							11-13：141	
20-052-01	四種相違疏本文	1998	494	囙	囙	謂即此囙	謂即此囙			4	2	〔朱〕去	平入平去							11-13：141	
20-052-01	四種相違疏本文	1999	495	能	能	𡖋能成立	𡖋能成立			2	2	〔朱〕去	＊去毘濁フ入							11-14：142	
20-052-01	四種相違疏本文	2000	495	成	成	𡖋能成立	𡖋能成立			3	2	〔朱〕毘濁	＊去毘濁フ入							11-14：142	
20-052-01	四種相違疏本文	2001	495	立	立	𡖋能成立	𡖋能成立			4	2	〔朱〕フ入	＊去毘濁フ入							11-14：142	
20-052-01	四種相違疏本文	2002	496	與	與	與彼㪽立	與彼㪽立			1	1	〔朱〕平	平平平フ入							11-14：142	
20-052-01	四種相違疏本文	2003	496	彼	彼	與彼㪽立	與彼㪽立			2	1	〔朱〕平	平平平フ入							11-14：142	
20-052-01	四種相違疏本文	2004	496	㪽	㪽	與彼㪽立	與彼㪽立			3	1	〔朱〕平	平平平フ入							11-14：142	
20-052-01	四種相違疏本文	2005	496	立	立	與彼㪽立	與彼㪽立			4	2	〔朱〕フ入	平平平フ入							11-14：142	
20-052-01	四種相違疏本文	2006	497	意	意	意許別義	意許別義			1	1	〔朱〕平	平平入濁平濁							11-14：142	
20-052-01	四種相違疏本文	2007	497	許	許	意許別義	意許別義			2	1	〔朱〕平	平平入濁平濁							11-14：142	
20-052-01	四種相違疏本文	2008	497	別	別	意許別義	意許別義			3	2	〔朱〕入濁	平平入濁平濁							11-14：142	
20-052-01	四種相違疏本文	2009	497	義	義	意許別義	意許別義			4	1	〔朱〕平濁	平平入濁平濁							11-14：142	
20-052-01	四種相違疏本文	2010	498	作	作	作有縁性	作有縁性			1	1	〔朱〕平	平平毘平新濁							11-14：142	
20-052-01	四種相違疏本文	2011	498	有	有	作有縁性	作有縁性			2	1	〔朱〕平	平平毘平新濁							11-14：142	
20-052-01	四種相違疏本文	2012	498	縁	縁	作有縁性	作有縁性			3	2	〔朱〕毘	平平毘平新濁							11-15：143	
20-052-01	四種相違疏本文	2013	498	性	性	作有縁性	作有縁性			4	2	〔朱〕平新濁	平平毘平新濁							11-15：143	
20-052-01	四種相違疏本文	2014	499	差	差	差別相𮞒	差別相𮞒			1	1	〔朱〕上	上入濁毘上							11-15：143	
20-052-01	四種相違疏本文	2015	499	別	別	差別相𮞒	差別相𮞒			2	2	〔朱〕入濁	上入濁毘上							11-15：143	
20-052-01	四種相違疏本文	2016	499	相	相	差別相𮞒	差別相𮞒			3	2	〔朱〕毘	上入濁毘上							11-15：143	
20-052-01	四種相違疏本文	2017	499	𮞒	𮞒	差別相𮞒	差別相𮞒			4	1	〔朱〕上	上入濁毘上							11-15：143	
20-052-01	四種相違疏本文	2018	500	而	而	而作非大有	而作非大有			1	1	〔朱〕上	上平上平濁平							11-15：143	
20-052-01	四種相違疏本文	2019	500	作	作	而作非大有	而作非大有			2	1	〔朱〕平	上平上平濁平							11-15：143	
20-052-01	四種相違疏本文	2020	500	非	非	而作非大有	而作非大有			3	1	〔朱〕上	上平上平濁平							11-15：143	
20-052-01	四種相違疏本文	2021	500	大	大	而作非大有	而作非大有			4	2	〔朱〕平濁	上平上平濁平							11-15：143	
